Name,Level,Attribute, Monster Type , Card Type ,Atk,Def,Description,Price,Status,Special Speed,Special Ability
Battle OX,4,EARHT,Beast-Warrior,Normal,1700,1000,"A monster with tremendous power, it destroys enemies with a swing of its axe.",2900,Unlimited,1,nothing
Axe Raider,4,EARHT,Warrior,Normal,1700,1150,An axe-wielding monster of tremendous strength and agility.,3100,Unlimited,1,nothing
Yomi Ship,3,WATER,Aqua,Effect,800,1400,If this card is destroyed by battle and sent to the GY: Destroy the monster that destroyed this card.,1700,Unlimited,1,DeathWish : killAttacker
Horn Imp,4,DARK,Fiend,Normal,1300,1000,"A small fiend that dwells in the dark, its single horn makes it a formidable opponent.",2500,Unlimited,1,nothing
Silver Fang,3,EARTH,Beast,Normal,1200,800,"A snow wolf that's beautiful to the eye, but absolutely vicious in battle.",1700,Unlimited,1,nothing
Suijin,7,WATER,Aqua,Effect,2500,2400,"During damage calculation in your opponent's turn, if this card is being attacked: You can target the attacking monster; make that target's ATK 0 during damage calculation only (this is a Quick Effect). This effect can only be used once while this card is face-up on the field.",8700,Unlimited,1,Tribute : summonWithTribute2/normal_AttackSpecial : reduceAttackToZero
Fireyarou,4,FIRE,Pyro,Normal,1300,1000,A malevolent creature wrapped in flames that attacks enemies with intense fire.,2500,Unlimited,1,nothing
Curtain of the dark ones,2,DARK,Spellcaster,Normal,600,500,"A curtain that a spellcaster made, it is said to raise a dark power.",700,Unlimited,1,nothing
Feral Imp,4,DARK,Fiend,Normal,1300,1400,"A playful little fiend that lurks in the dark, waiting to attack an unwary enemy.",2800,Unlimited,1,nothing
Dark magician,7,DARK,Spellcaster,Normal,2500,2100,The ultimate wizard in terms of attack and defense.,8300,Unlimited,1,Tribute : summonWithTribute2/normal
Wattkid,3,LIGHT,Thunder,Normal,1000,500,A creature that electrocutes opponents with bolts of lightning.,1300,Unlimited,1,nothing
Baby dragon,3,WIND,Dragon,Normal,1200,700,"Much more than just a child, this dragon is gifted with untapped power.",1600,Unlimited,1,nothing
Hero of the east,3,EARTH,Warrior,Normal,1100,1000,Feel da strength ah dis sword-swinging samurai from da Far East.,1700,Unlimited,1,nothing
Battle warrior,3,EARTH,Warrior,Normal,700,1000,A warrior that fights with his bare hands!!!,1300,Unlimited,1,nothing
Crawling dragon,5,EARTH,Dragon,Normal,1600,1400,"This weakened dragon can no longer fly, but is still a deadly force to be reckoned with.",3900,Unlimited,1,Tribute : summonWithTribute1/normal
Flame manipulator,3,FIRE,Spellcaster,Normal,900,1000,"This Spellcaster attacks enemies with fire-related spells such as ""Sea of Flames"" and ""Wall of Fire"".",1500,Unlimited,1,nothing
Blue_Eyes white dragon,8,LIGHT,Dragon,Normal,3000,2500,"This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.",11300,Unlimited,1,Tribute : summonWithTribute2/normal
Crab Turtle,8,WATER,Aqua,Ritual,2550,2500,"This monster can only be Ritual Summoned with the Ritual Spell Card, ""Turtle Oath"". You must also offer monsters whose total Level Stars equal 8 or more as a Tribute from the field or your hand.",10200,Unlimited,1,nothing
